Gene,Phase C p-value,Phase C effect,Phase C fold-change,Phase D p-value,Phase D effect,Pct cells,Phase,Highly expressed C+,Highly expressed C-,De-repressed phase D,Case-control p-value,Case-control fold-change
ALDOA,0.0299,0.001035639,1.168,4.74e-31,1.714675,27.89,D,N,N,N,0.671,1.458
ALDOC,0.481,-0.001743711,0.77,5.75e-15,7.648881,0.43,D,N,N,Y,0.894,1.86
AMER2,0.285,0.0004196947,1.065,1.98e-19,1.152293,44.4,D,N,N,N,0.248,1.114
AMOTL2,0.417,-0.001842588,0.759,2.2e-11,4.687593,0.84,D,N,N,N,0.792,1.475
AMPD3,0.475,-0.0005153167,0.926,8.86e-12,1.548067,18.22,D,N,N,N,0.0765,0.878
ANAPC11,0.158,-0.001257522,0.828,2.8e-14,2.005337,8.77,D,N,N,N,3.56e-05,0.56
ANGPT1,0.384,-0.001836822,0.759,1.32e-23,6.362719,1.47,D,N,N,N,0.0257,0.613
ANGPTL4,0.00423,-0.006012814,0.406,1.62e-13,3.558957,2.86,D,N,N,N,0.00158,0.64
ANK1,4.5e-05,0.003552335,1.704,1.69e-18,2.612219,7.08,D,N,N,N,0.925,1.227
ANKRD29,0.00177,0.003143927,1.603,6.52e-13,2.47677,5.67,D,N,N,N,0.221,1.638
ANKRD44,0.125,0.0005081343,1.079,9.12e-11,0.7085302,71.07,D,N,N,N,0.138,1.105
ANO4,0.187,-0.0009539302,0.867,5.56e-27,2.499573,30.24,D,N,N,N,0.00464,1.739
APOE,0.00463,-0.007158409,0.342,8.99e-22,4.839084,1.45,D,N,N,N,0.0832,1.365
AQP1,0.00574,-0.003253474,0.614,3.02e-17,2.469324,6.35,D,N,N,N,0.196,0.891
ARHGAP23,0.788,-0.0002531282,0.963,5.21e-13,2.154958,7.73,D,N,N,N,0.198,1.94
ARHGAP24,0.00103,-0.00462666,0.5,2.69e-27,4.392412,6.24,D,N,N,N,0.941,1.062
ARHGAP42,0.0401,-0.004256883,0.528,1.53e-18,5.166045,1.69,D,N,N,N,0.651,1.481
ARHGEF40,0.642,0.0009778872,1.158,1.4e-12,4.62833,0.65,D,N,N,N,0.929,2.376
ARL4C,0.118,-0.004146382,0.537,5.36e-13,9.866113,0.14,D,N,N,Y,0.34,4.661
ARL6IP1,2.12e-06,0.001463387,1.245,4.5e-21,0.9247645,55.42,D,N,N,N,0.869,1.033
ASPA,0.334,-0.001576153,0.789,4.95e-18,3.904009,2.35,D,N,N,N,0.0343,0.799
ATP1A2,1.63e-07,-0.01142825,0.18,8.45e-50,7.07997,2.43,D,N,N,N,0.00113,0.566
ATP1B1,0.247,0.0002061486,1.031,9.01e-14,0.4347925,98.25,D,N,N,N,0.00133,0.86
ATP2B4,1.18e-06,0.0022275,1.397,1.3e-22,1.514919,39.91,D,N,N,N,0.00485,1.702
ATP5D,0.000186,-0.002415578,0.696,6.58e-23,1.764762,22.51,D,N,N,N,0.025,0.818
